Iteration,BestIndex_Iter,Fitness_Iter,BlosumScore_Iter,Interaction_Iter,CumulativeNFE,TimeSeconds_Iter
1,0,-39830.5763,-39834.0,3.4237,32,1.2055
2,1,-39830.4539,-39834.0,3.5461,64,2.3397
3,1,-39831.9473,-39834.0,2.0527,96,1.4340
4,0,-39829.5000,-39834.0,4.5000,128,1.8856
5,0,-39829.5000,-39834.0,4.5000,160,2.7948
6,0,-39828.0000,-39834.0,6.0000,192,2.5910
7,0,-39832.0439,-39834.0,1.9561,224,1.5364
8,0,-39829.6648,-39834.0,4.3352,256,2.7638
9,0,-39828.0000,-39834.0,6.0000,288,1.1450
10,0,-39829.6165,-39834.0,4.3835,320,2.5342
11,0,-39829.8601,-39834.0,4.1399,352,1.3084
12,0,-39829.6376,-39834.0,4.3624,384,1.1909
13,0,-39829.5000,-39834.0,4.5000,416,1.2555
14,1,-39831.5013,-39834.0,2.4987,448,1.8247
15,0,-39829.5000,-39834.0,4.5000,480,1.4406
16,3,-39830.4984,-39834.0,3.5016,512,1.4239
17,0,-39829.5000,-39834.0,4.5000,544,2.3045
18,2,-39833.9885,-39837.0,3.0115,576,1.2290
19,0,-39828.0000,-39834.0,6.0000,608,2.6486
20,1,-39829.7752,-39834.0,4.2248,640,4.9123
21,1,-39834.1253,-39837.0,2.8747,672,5.1850
22,0,-39830.9997,-39834.0,3.0003,704,1.1354
23,0,-39830.7527,-39834.0,3.2473,736,2.4129
24,0,-39830.9987,-39834.0,3.0013,768,6.8341
25,0,-39832.0639,-39834.0,1.9361,800,1.9469
26,0,-39830.9997,-39834.0,3.0003,832,1.8658
27,2,-39834.1163,-39837.0,2.8837,864,1.2052
28,0,-39830.2976,-39834.0,3.7024,896,1.8572
29,1,-39833.9996,-39837.0,3.0004,928,6.7450
30,0,-39829.6264,-39834.0,4.3736,960,3.5027
