Iteration,BestIndex_Iter,Fitness_Iter,BlosumScore_Iter,Interaction_Iter,CumulativeNFE,TimeSeconds_Iter
1,2,-21496.4996,-21498.0,1.5004,32,1.3137
2,1,-21507.0000,-21510.0,3.0000,64,1.2536
3,1,-21496.4955,-21498.0,1.5045,96,1.3021
4,3,-21502.5000,-21504.0,1.5000,128,5.2085
5,2,-21508.4910,-21510.0,1.5090,160,7.6424
6,0,-21495.0000,-21498.0,3.0000,192,2.7412
7,3,-21508.4443,-21510.0,1.5557,224,2.0561
8,3,-21496.5000,-21498.0,1.5000,256,1.4414
9,0,-21504.0000,-21510.0,6.0000,288,2.2338
10,2,-21501.0000,-21504.0,3.0000,320,6.1369
11,0,-21496.3886,-21498.0,1.6114,352,4.0252
12,0,-21507.0000,-21510.0,3.0000,384,2.0222
13,1,-21502.4955,-21504.0,1.5045,416,2.3600
14,2,-21507.0000,-21510.0,3.0000,448,2.2457
15,2,-21496.4910,-21498.0,1.5090,480,2.0909
16,0,-21496.4443,-21498.0,1.5557,512,1.6905
17,0,-21496.4955,-21498.0,1.5045,544,1.6430
18,0,-21496.4588,-21498.0,1.5412,576,2.4125
19,0,-21511.5000,-21516.0,4.5000,608,1.9161
20,1,-21499.5000,-21504.0,4.5000,640,1.3098
21,0,-21501.0000,-21504.0,3.0000,672,1.4404
22,0,-21499.5000,-21504.0,4.5000,704,2.7960
23,0,-21496.5000,-21498.0,1.5000,736,5.0351
24,2,-21507.0000,-21510.0,3.0000,768,2.7829
25,0,-21508.3886,-21510.0,1.6114,800,1.8303
26,0,-21502.4996,-21504.0,1.5004,832,2.0736
27,2,-21513.0000,-21516.0,3.0000,864,1.3583
28,1,-21502.5000,-21504.0,1.5000,896,1.6339
29,2,-21502.5000,-21504.0,1.5000,928,1.3552
30,1,-21502.4443,-21504.0,1.5557,960,2.9204
