Iteration,BestIndex_Iter,Fitness_Iter,SPS_Afin_Score_Iter,Interaction_Iter,CumulativeNFE,TimeSeconds_Iter
1,0,-16772.3619,-16779.0,6.6381,200,4.3997
2,1,-16768.1558,-16779.0,10.8442,400,3.4590
3,1,-16771.4596,-16779.0,7.5404,600,5.2789
4,0,-16769.9972,-16779.0,9.0028,800,5.6505
5,0,-16772.8792,-16779.0,6.1208,1000,3.2073
6,0,-16772.4910,-16779.0,6.5090,1200,6.2223
7,0,-16770.0000,-16779.0,9.0000,1400,6.0378
8,2,-16772.2401,-16779.0,6.7599,1600,4.7089
9,0,-16771.4971,-16779.0,7.5029,1800,6.8617
10,1,-16772.9967,-16779.0,6.0033,2000,5.7816
11,4,-16771.3066,-16779.0,7.6934,2200,4.8691
12,5,-16768.5969,-16779.0,10.4031,2400,4.5486
13,1,-16771.5692,-16779.0,7.4308,2600,4.4275
14,2,-16774.2492,-16779.0,4.7508,2800,4.8674
15,4,-16772.8044,-16779.0,6.1956,3000,9.1781
16,4,-16775.9942,-16779.0,3.0058,3200,7.8774
17,7,-16774.8927,-16779.0,4.1073,3400,9.9876
18,1,-16775.4735,-16779.0,3.5265,3600,6.7885
19,1,-16769.7539,-16779.0,9.2461,3800,4.2987
20,1,-16770.4374,-16779.0,8.5626,4000,5.6976
21,9,-16776.0558,-16779.0,2.9442,4200,7.6205
22,3,-16603.8189,-16611.0,7.1811,4400,6.2668
23,1,-16771.7429,-16779.0,7.2571,4600,11.4030
24,3,-16604.9131,-16610.0,5.0869,4800,8.3108
25,1,-16766.9272,-16779.0,12.0728,5000,5.0856
26,2,-16603.6062,-16610.0,6.3938,5200,4.2316
27,2,-16605.5799,-16611.0,5.4201,5400,8.1384
28,8,-16672.1044,-16681.0,8.8956,5600,7.2751
29,1,-16673.6851,-16681.0,7.3149,5800,4.2493
30,0,-16677.0541,-16681.0,3.9459,6000,7.0264
