Iteration,BestIndex_Iter,Fitness_Iter,SPS_Afin_Score_Iter,Interaction_Iter,CumulativeNFE,TimeSeconds_Iter
1,0,-17874.0000,-17889.0,15.0000,200,4.8313
2,0,-17874.0000,-17889.0,15.0000,400,9.5907
3,0,-17874.0000,-17889.0,15.0000,600,11.6835
4,0,-17874.0000,-17889.0,15.0000,800,7.9702
5,0,-17874.0000,-17889.0,15.0000,1000,4.7227
6,0,-17874.0000,-17889.0,15.0000,1200,3.9349
7,0,-17874.0000,-17889.0,15.0000,1400,6.8417
8,0,-17874.0000,-17889.0,15.0000,1600,5.8436
9,0,-17874.0000,-17889.0,15.0000,1800,7.2180
10,0,-17874.0000,-17889.0,15.0000,2000,7.0439
11,0,-16621.4930,-16624.0,2.5070,2200,4.5853
12,0,-16619.9930,-16624.0,4.0070,2400,11.7352
13,0,-16618.4930,-16624.0,5.5070,2600,6.1939
14,0,-16616.9930,-16624.0,7.0070,2800,8.1502
15,0,-16615.4930,-16624.0,8.5070,3000,9.4444
16,0,-16613.9930,-16624.0,10.0070,3200,8.7848
17,0,-16612.4930,-16624.0,11.5070,3400,4.0891
18,0,-16610.9930,-16624.0,13.0070,3600,4.7697
19,0,-16610.5000,-16624.0,13.5000,3800,8.3558
20,0,-16609.0000,-16624.0,15.0000,4000,6.6473
21,2,-16612.0000,-16624.0,12.0000,4200,7.2412
22,2,-16612.0000,-16624.0,12.0000,4400,9.3061
23,2,-16612.0000,-16624.0,12.0000,4600,8.4351
24,2,-16612.0000,-16624.0,12.0000,4800,4.3083
25,2,-16612.0000,-16624.0,12.0000,5000,6.3661
26,2,-16612.0000,-16624.0,12.0000,5200,8.1768
27,2,-16612.0000,-16624.0,12.0000,5400,9.7142
28,2,-16612.0000,-16624.0,12.0000,5600,5.8355
29,2,-16612.0000,-16624.0,12.0000,5800,5.6510
30,2,-16612.0000,-16624.0,12.0000,6000,7.9973
31,2,-16610.7876,-16624.0,13.2124,6200,4.5897
32,2,-16610.7876,-16624.0,13.2124,6400,6.9461
33,2,-16610.7876,-16624.0,13.2124,6600,8.9602
34,2,-16610.7876,-16624.0,13.2124,6800,7.4002
35,2,-16610.7876,-16624.0,13.2124,7000,5.9617
36,2,-16610.7876,-16624.0,13.2124,7200,6.3922
37,2,-16610.7876,-16624.0,13.2124,7400,7.3132
38,2,-16610.7876,-16624.0,13.2124,7600,6.6372
39,2,-16610.7876,-16624.0,13.2124,7800,8.1483
40,2,-16610.7876,-16624.0,13.2124,8000,8.1198
41,2,-16612.0000,-16624.0,12.0000,8200,11.4808
42,2,-16612.0000,-16624.0,12.0000,8400,7.1452
43,2,-16612.0000,-16624.0,12.0000,8600,4.9232
44,2,-16612.0000,-16624.0,12.0000,8800,6.9475
45,2,-16612.0000,-16624.0,12.0000,9000,5.3213
46,2,-16612.0000,-16624.0,12.0000,9200,4.6124
47,2,-16612.0000,-16624.0,12.0000,9400,8.7589
48,2,-16612.0000,-16624.0,12.0000,9600,11.2533
49,2,-16612.0000,-16624.0,12.0000,9800,8.0267
50,2,-16612.0000,-16624.0,12.0000,10000,5.7170
